SCENARIO_ID,PNODE_NAME,PERIOD_ID,LMP
1,.I.KENT    345 2,2020-07-01T00:00:00,26.98
1,.I.PARKCITY345 1,2020-07-01T00:00:00,33.32
1,.I.VICTORIA345 1,2020-07-01T00:00:00,26.81
1,.Z.NORTH,2020-07-01T00:00:00,28.86
1,.Z.SOUTH,2020-07-01T00:00:00,30.68
1,AR.BRIGHTON345 UBGH2P,2020-07-01T00:00:00,35.03
1,AR.BRIGHTON345 UBGHP,2020-07-01T00:00:00,34.45
1,AR.SUNDANCE345 FAIRC,2020-07-01T00:00:00,30.92
1,DR.NORTH,2020-07-01T00:00:00,32.45
1,DR.SOUTH_EAST,2020-07-01T00:00:00,34.31
1,LD.KENT    230 KNT2,2020-07-01T00:00:00,33.42
1,LD.KENT    345 KNT1,2020-07-01T00:00:00,29.52
1,LD.MIDWAY  345,2020-07-01T00:00:00,35.09
1,LD.MIDWAY  345 MID1,2020-07-01T00:00:00,30.61
1,LD.MIDWAY  345 MID2,2020-07-01T00:00:00,30.54
1,LD.PARKCITY345 LPRK,2020-07-01T00:00:00,29.26
1,LD.SOLITUDE230 LSOL,2020-07-01T00:00:00,32.81
1,LD.SUNDANCE345 LSUN,2020-07-01T00:00:00,31.76
1,LD.VICTORIA345 LVIC,2020-07-01T00:00:00,34.15
1,UN.ALTA    345 PRIV,2020-07-01T00:00:00,30.85
1,UN.ALTA    345 UALT,2020-07-01T00:00:00,34.75
1,UN.ALTA    345 UALT2,2020-07-01T00:00:00,34.37
1,UN.ALTA    345 UALT3,2020-07-01T00:00:00,31.32
1,UN.ALTA    345 UALTA,2020-07-01T00:00:00,30.31
1,UN.ALTA    345 UALTB,2020-07-01T00:00:00,31.87
1,UN.BRIGHTON345 UBGH,2020-07-01T00:00:00,32.38
1,UN.BRIGHTON345 UBGH2,2020-07-01T00:00:00,29.15
1,UN.KENT    345 UKEN,2020-07-01T00:00:00,32.32
1,UN.PARKCITY345 UPRK,2020-07-01T00:00:00,33.3
1,UN.SOLITUDE345 USOL,2020-07-01T00:00:00,26.52
1,UN.SUNDANCE345 USUN,2020-07-01T00:00:00,31.98
1,UN.VICTORIA345 UVIC,2020-07-01T00:00:00,28.72
1,.I.KENT    345 2,2020-07-01T01:00:00,29.0
1,.I.PARKCITY345 1,2020-07-01T01:00:00,31.69
